rangeType, point1X, point1Y, point2X, point2Y, distance, total, floorNone, floorWater, floorMagma, blockL1, blockL2, blockL3, blockL4
rect, 6, 6, 14, 14, 0,81,0,0,0,81,0,0,0
rect, -14, -14, -6, -6, 0,81,0,0,0,81,0,0,0
rect, 7, -13, 13, -7, 0,49,0,0,0,49,0,0,0
rect, -13, 7, -7, 13, 0,49,0,0,0,49,0,0,0
rect, 11, -17, 20, -1, 5,149,9,0,0,125,15,0,0
rect, 11, 0, 20, 14, 0,114,6,5,0,98,5,0,0
rect, -20, -14, -11, 0, 0,114,10,0,0,91,13,0,0
rect, -20, 1, -11, 17, 0,149,16,0,0,119,7,7,0
rect, 19, 15, 20, 16, 0,4,0,0,0,4,0,0,0
rect, -23, -20, 24, -17, 0,182,10,0,0,163,9,0,0
rect, -23, 20, 22, 20, 0,46,3,0,0,41,2,0,0
rect, -3, -29, 4, -23, 0,56,1,0,5,50,0,0,0
rect, -22, -26, -12, -22, 0,55,6,0,0,49,0,0,0
rect, -13, -34, -4, -27, 0,80,1,8,8,56,6,1,0
distance, 13, -29, 0, 0, 6,85,5,4,0,68,4,4,0
rect, -4, -42, 7, -35, 0,96,8,14,0,57,9,4,4
rect, -3, -48, 11, -43, 0,90,6,2,2,45,17,9,9
rect, -11, -48, -6, -43, 0,36,4,0,0,0,1,7,24
rect, -20, -48, -13, -36, 0,104,2,0,20,10,26,31,15
rect, 14, -49, 32, -47, 0,57,5,2,0,11,14,17,8
rect, -14, 24, -10, 34, 0,55,5,0,2,25,16,5,2
rect, -7, 24, 7, 33, 0,150,6,7,0,15,78,37,7
distance, 12, 38, 0, 0, 6,85,36,4,4,8,12,17,4
rect, -21, 42, -17, 45, 0,20,1,0,0,0,0,3,16
rect, -34, 37, -16, 46, 0,170,6,17,0,28,51,34,34
rect, -14, 37, -6, 45, 0,81,4,0,0,16,16,24,21
rect, -5, 42, 4, 46, 0,50,1,0,2,0,0,7,40
rect, -14, 47, 10, 49, 0,75,4,0,15,4,15,30,7
rect, -42, 47, -16, 49, 0,81,5,0,16,0,8,32,20
rect, -39, 4, -21, 14, 0,209,12,0,31,146,16,4,0
rect, -28, -4, -21, 3, 0,64,6,0,0,48,9,1,0
rect, -39, -4, -29, 3, 0,88,8,0,0,57,17,5,1
rect, -39, -16, -21, -5, 0,228,9,0,34,136,45,4,0
rect, 21, -5, 28, 2, 0,64,3,1,0,48,11,1,0
rect, 29, -5, 37, 2, 0,72,4,2,0,46,14,5,1
